Profile Name,Start Time,Duration,Game Title,Game Version,Platform,Device Type,Country,Esn,Ip
Daniel,2024-08-13 03:41:13,115,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-13 03:40:13,311,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-12 21:17:03,60,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-12 20:34:17,0,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-12 19:20:50,49,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-12 19:16:49,180,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-12 18:25:41,360,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-12 10:24:05,59,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-12 01:27:57,34,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-12 01:26:55,0,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-12 00:41:43,120,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-11 23:02:46,19,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
Daniel,2024-08-11 23:02:04,30,Flutter Butterflies,3.211,androidGame,HXY_MP05,CA,NFANDROID1-PRV-P-L3-HXY==MP05-8158-01EDFFA3C406A76864AF68F20A2AE16D98A414162881C9580467C0EB4A132A84F,209.141.173.80
