Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Daniel,android,cachedVideos,,,2025-03-25 00:47:42
Daniel,android,movieDetails,,,2025-03-25 00:47:39
Daniel,android,playback,,,2025-03-25 00:47:39
Daniel,android,playback,,,2025-03-25 00:42:53
Daniel,android,playback,,,2025-03-25 00:42:53
Daniel,android,playback,,,2025-03-25 00:42:51
Daniel,android,postPlay,,,2025-03-25 00:42:51
Daniel,android,playback,,,2025-03-25 00:37:58
Daniel,android,playback,,,2025-03-25 00:37:57
Daniel,android,playback,,,2025-03-25 00:37:56
Daniel,android,postPlay,,,2025-03-25 00:37:56
Daniel,android,movieDetails,,,2025-03-25 00:34:18
Daniel,android,playback,,,2025-03-25 00:34:18
Daniel,android,movieDetails,,,2025-03-25 00:30:01
Daniel,android,movieDetails,,,2025-03-24 23:52:57
Daniel,android,playback,,,2025-03-24 23:14:42
Daniel,android,movieDetails,,,2025-03-24 23:14:42
Daniel,android,playback,,,2025-03-24 22:56:06
Daniel,android,movieDetails,,,2025-03-24 22:56:05
Daniel,android,cachedVideos,,,2025-03-24 22:55:54
Daniel,android,movieDetails,,,2025-03-24 22:55:54
Daniel,android,playback,,,2025-03-24 22:55:52
Daniel,android,cachedVideos,,,2025-03-24 22:55:52
Daniel,android,cachedVideos,,,2025-03-24 22:45:18
Daniel,android,cachedVideos,,,2025-03-24 22:45:17
Daniel,android,cachedVideos,,,2025-03-24 22:45:17
Daniel,android,playback,,,2025-03-24 22:45:16
Daniel,android,cachedVideos,,,2025-03-24 22:45:09
Daniel,android,cachedVideos,,,2025-03-24 22:45:09
Daniel,android,playback,,,2025-03-24 22:45:07
Daniel,android,cachedVideos,,,2025-03-24 22:45:07
Daniel,android,playback,,,2025-03-24 22:43:49
Daniel,android,cachedVideos,,,2025-03-24 22:43:48
Daniel,android,cachedVideos,,,2025-03-24 22:43:44
Daniel,android,cachedVideos,,,2025-03-24 22:43:44
Daniel,android,cachedVideos,,,2025-03-24 22:43:02
Daniel,android,cachedVideos,,,2025-03-24 22:43:02
Daniel,android,cachedVideos,,,2025-03-24 22:42:20
Daniel,android,cachedVideos,,,2025-03-24 21:59:18
Daniel,android,cachedVideos,,,2025-03-24 20:50:08
Daniel,android,cachedVideos,,,2025-03-24 19:45:16
Daniel,android,playback,,,2025-03-24 19:15:46
Daniel,android,cachedVideos,,,2025-03-24 19:15:46
Daniel,android,cachedVideos,,,2025-03-24 19:10:46
Daniel,android,playback,,,2025-03-24 19:10:46
Daniel,android,playback,,,2025-03-24 19:08:56
Daniel,android,cachedVideos,,,2025-03-24 19:08:56
Daniel,android,playback,,,2025-03-24 19:06:57
Daniel,android,postPlay,,,2025-03-24 19:06:57
Daniel,android,playback,,,2025-03-24 19:06:40
Daniel,android,cachedVideos,,,2025-03-24 19:06:39
Daniel,android,cachedVideos,,,2025-03-24 16:57:15
Daniel,android,playback,,,2025-03-24 16:57:14
Daniel,android,cachedVideos,,,2025-03-24 16:57:13
Daniel,android,cachedVideos,,,2025-03-24 16:57:13
Daniel,android,myProfileView,,,2025-03-24 16:57:07
Daniel,android,cachedVideos,,,2025-03-24 16:57:07
Daniel,android,myProfileView,,,2025-03-24 16:56:57
Daniel,android,profilesGate,,,2025-03-24 16:56:56
Daniel,android,playback,,,2025-03-24 16:56:23
Daniel,android,postPlay,,,2025-03-24 16:56:23
Daniel,android,playback,,,2025-03-24 16:56:23
Daniel,android,postPlay,,,2025-03-24 16:56:23
Daniel,android,playback,,,2025-03-24 16:56:13
Daniel,android,playback,,,2025-03-24 16:56:13
Daniel,android,profilesGate,,,2025-03-24 16:56:12
Daniel,android,profilesGate,,,2025-03-24 16:56:09
Daniel,android,clcsInitialInterstitialView,,,2025-03-24 16:56:09
Daniel,android,playback,,,2025-03-23 23:51:15
Daniel,android,playback,,,2025-03-23 23:51:14
Daniel,android,playback,,,2025-03-23 23:51:13
